key,en,zh
achiev_hero_desc,Kill {0} monsters,杀死{0}个怪物
achiev_levelup,You’ve reached level {0}!,你已经达到了{0}级！
achiev_master_fire,Smelter,冶炼师
achiev_master_fire_desc,Smelt {0} ores,冶炼{0}块矿石
achiev_smith,Blacksmith,铁匠
achiev_smith_desc,Craft {0} iron items,打造了{0}个铁器物品
achiev_traveler,Underground Man,地下使者
achiev_traveler_desc,Descent down to planet core,下到星球的核心
block_alchemical_table,Alchemist Table,医疗台
block_altar,Altar,祭坛
block_anvil,Anvil,铁砧
block_aquarium,Aquarium,鱼缸
block_arms_rack,Arms Rack,武器架
block_arrow_trap,Arrow Trap,暗箭陷阱
block_banner_black,Black Banner,黑条幅
block_banner_blue,Blue Banner,蓝条幅
block_banner_green,Green Banner,绿条幅
block_banner_orange,Orange Banner,橙玻璃
block_banner_purple,Purple Banner,紫条幅
block_banner_red,Red Banner,红条幅
block_banner_white,White Banner,白条幅
block_bed,Bed,床
block_big_bouquet_random,Large Bouquet,大扎鲜花
block_big_candlestick,Gold Candlestick,黄金烛台
block_big_christmas_tree,Slot Machine,老虎机
block_big_picture,Large Picture,大图片
block_blue_coral,Blue Coral,蓝煤
block_blue_mushroom,Blue Mushroom,蓝蘑菇
block_bluetail_home,Globunny House,乖怪兔窝
block_book_memories,The Book of Memories,记忆之书
block_book_memories_part2,The Book of Memories Part 2,记忆之书第二部分
block_book_shadows,Ancient Computer,远古计算机
block_bookcase,Bookcase,书架
block_bookcase_gold,Gold Bookcase,金书架
block_bookcase_iron,Iron Bookcase,铁书架
block_bouquet_roses,Bunch of Roses,一扎玫瑰
block_branch_tree_small,Branch Tree,Branch Tree
block_brick,Brick,砖
block_brick_plate,Brick Plate,砖板
block_bronze_plate,Bronze Plate,铜板
block_bronze_storage,Bronze Block,铜块
block_burner,Burner,燃烧器
block_candelabrum,Candlestick,烛台
block_chair,Chair,椅
block_chandelier,Chandelier,吊灯
block_chest,Chest,箱
block_chest_gold,Gold Chest,黄金箱
block_chicken_house,Chicken House,鸡舍
block_christmas_tree,Scarecrow,稻草人
block_clay,Clay,粘土
block_cobblestone,Cobblestone,石材
block_diamond_storage,Diamond Block,钻石块
block_dirt,Dirt,土
block_energy_beam,Energy Beam,能量束
block_fire_iron_storage,Solidium Block,超锢块
block_fire_trap,Fire Trap,火焰陷阱
block_fireball_trap,Fireball Trap,火球陷阱
block_fireflower,Firebloom,火焰花
block_fleece,Wool,羊毛
block_furnace,Furnace,熔炉
block_gift_chest_new_year,Christmas Gift Chest,圣诞礼物箱
block_glass,Glass,玻璃
block_glass_blue,Red Glass,红玻璃
block_glass_red,Green Glass,绿玻璃
block_gnome_door,Dwarf Door,矮人门
block_gold_door,Gold Door,金门
block_gold_plate,Gold Plate,金板
block_gold_storage,Gold Block,金块
block_grass,Grass,草
block_great_bed,Gold Bed,金床
block_great_chair,Gold Chair,金椅
block_great_sofa,Gold Sofa,金沙发
block_great_table,Gold Table,金桌
block_green_coral,Green Coral,绿煤
block_guest_portal,Guest Portal,Guest Portal
block_hero_statue,Hero Statue,英雄像
block_input_portal,Entrance Portal,入口传送门
block_iron_bed,Iron Bed,铁床
block_iron_chair,Iron Chair,铁椅
block_iron_chandelier,Large Gold Chandelier,黄金大吊灯
block_iron_chandelier_small,Iron Chandelier,铁吊灯
block_iron_door,Iron Door,铁门
block_iron_ladder,Iron Ladder,铁梯
block_iron_lamp,Iron Lamp,铁灯
block_iron_sofa,Iron Sofa,铁沙发
block_iron_storage,Iron Block,铁块
block_iron_table,Iron Table,铁桌
block_ladder,Ladder,梯子
block_lamp,Lantern,小油灯
block_leaves,Leaves,树叶
block_letoch,Letoch,乐塔奇
block_louver,Louver,通风口
block_marker,Sign,记号
block_mechanical_guard,F-Dog Mod. B-2,F-Dog Mod. B-2
block_medium_picture,Medium Picture,中等图片
block_metal,Metal Block,金属块
block_metal_plate,Metal Plate,金属板
block_moss_metal,Moss Metal Block,苔金属块
block_moss_stone_brick,Moss Stone Brick,苔石砖
block_obsidian,Obsidian,黑曜石
block_obsidian_brick,Obsidian Brick,黑曜石砖
block_obsidian_plate,Obsidian Plate,黑曜石砖板
block_opened_gift_chest,Opened Gift Chest,已打开的礼物箱
block_opened_treasure_chest_magic,Empty Treasure Chest,空宝箱
block_opened_treasure_chest_wood,Empty Treasure Chest,空宝箱
block_output_portal,Exit Portal,出口传送门
block_peresvet,Wary Light,含羞之光
block_pillar,Column,柱
block_purple_home,Purple Panda House,紫熊猫屋
block_red_mushroom,Red Mushroom,红蘑菇
block_rose,Rose,玫瑰
block_sand,Sand,沙
block_saw_trap,Saw Trap,锯子陷阱
block_shop,Shop,商店
block_shop_exchange,3d Printer 3000,3D打印机（3000型）
block_skulls,Skulls,骷髅
block_slug,Fire Roach Slime,火蟑螂黏液
block_slug_eggs,Fire Roach Eggs,火蟑螂之蛋
block_small_picture,Small Picture,小图片
block_small_torch,Faint Torch,小火把
block_space_ship,Space Ship,太空船
block_spikes_trap,Spikes Trap,长矛陷阱
block_statue,Entablature,楣构
block_stone,Stone,石
block_stone_brick,Stone Brick,石砖
block_stone_brick_plate,Stone Brick Plate,石砖板
block_stone_plate,Stone Plate,石板
block_surinot_home,Fenik House,狐窝
block_table,Table,桌
block_techno_bed,Solidium Bed,超锢床
block_techno_chair,Solidium Chair,超锢椅
block_techno_door,Solidium Door,超锢门
block_techno_plate,Solidium Plate,超锢板
block_techno_sofa,Solidium Sofa,超固岩沙发
block_techno_table,Solidium Table,超锢桌
block_techno_tv,TV,电视机
block_techno_workbench,Techno Workbench,技术工作台
block_throne,King's Throne,王座
block_tile_plate,Tile Plate,瓷板
block_tileroof,Roof,屋顶
block_torch,Torch,火把
block_totem,Totem,图腾
block_treasure_chest,Treasure Box,宝盒
block_treasure_chest_gold,Golden Treasure Chest,金宝箱
block_treasure_chest_magic,Magic Treasure Chest,魔法宝箱
block_treasure_chest_wood,Wooden Treasure Chest,木宝箱
block_tree_seedling,Tree Seedling,树苗
block_tulpan,Tulip,郁金香
block_tvforwall,TV,电视机
block_web,Cobweb,蛛网
block_white_brick,White Brick,白砖
block_white_brick_plate,White Brick Plate,白砖板
block_window,Window,窗
block_witches_mushroom,Witch Mushroom,巫术蘑菇
block_wood,Wood,木头
block_wood_door,Door,门
block_wood_planks,Wood Plank,木条
block_wood_plate,Wooden Plate,木板
block_wood_trapdoor,Trapdoor,活板门
block_workbench,Workbench,工作台
block_workshop,Med Station,医务站
block_yellow_mushroom,Yellow Mushroom,黄蘑菇
boss_gargoule,Ancient Guard,古代守卫
boss_gnome,Overthrown King,被推翻的国王
boss_shadow_mosquiton,Shadow Mosquiton,影子喽啰
boss_shadow_tyrant,Shadow Tyrant,影子君主
boss_shadow_ufo,Shadow Imperator,影子最高统治者
boss_spider,King Mosquiton,莫斯奎登国王
boss_transformer,Ancient Guard,古代守卫
boss_ufo,Imperator Finalium,费纳利姆大将军
boss_zombie,Tyrant,独裁者提蓝特
buff_burn,Burning,火烧
buff_experience,Extra XP,额外经验值
buff_freezing,Freezing,冰冻
buff_gills,Gills,鱼腮草
buff_healing,Healing,治疗
buff_invisibility,Invisibility,隐形
buff_levitation,Levitation,悬浮
buff_light,Lighting,闪电
buff_poison,Poisoning,下毒
buff_speed,Increase Speed,提高速度
buff_stun,Stun,电击
buff_telekinesis,Telekinesis,意念
buff_web,Cobweb,布网
character,character,角色
drop_text,Drop:,奖杯:
error_game_init,"Failed to create video output. Please, check updates of your video driver ;(

If you are webmaster try to set 'wmode' to 'direct'.","未能创建视频输出。请检查您的视频驱动程序的更新；（

如果你是网管，请尝试将‘wmode’设为‘direct’）"
hint_bailer,"You need to water farmland once in a while 
to prevent it from drying up.","你需要隔一段时间给农田浇水，
防止变干。"
hint_burn_web,"You can burn a cobweb 
by <font color='#99D4FF'>[Right Click]</font> on your character","你可以<font color='#99D4FF'>[右击]</font> 角色，
将蛛网烧去"
hint_cant_burn_web,I have no torches.,我没有火把。
hint_cant_healing,I'm already healing.,我已经正在恢复中。
hint_cant_use_broken_item,"It's broken! 
I can't use it anymore.","已经损坏！
我无法再使用它。"
hint_chest_lock,"The safe is locked. 
I need a Key Card.","保险柜上了锁。
我需要一张钥匙卡。"
hint_drank_first_potion,"To cancel potion effect 
click its icon on the left side of the screen.","要解除药水效果，
点击屏幕左侧其图标。"
hint_first_night,"It’s my first night here. 
I’d better be cautious.","这是我在这里的头一个夜晚。
我得小心些。"
hint_healing_not_required,I don’t need to heal right now.,此刻我不需要治疗。
hint_need_arrows,I need arrows!,我需要弓箭！
hint_need_bolts,I need bolts!,我需要十字弓弓箭！
hint_need_bullet,I need bullets!,我需要子弹！
hint_need_energy,I need enegry!,我需要能量！
hint_need_fuel_canister,I need some fuel!,我需要一些燃料！
hint_need_poweredenergy,I need shotgun cartridge!,我需要散弹枪弹药！
hint_select_mob,"<font color='#99D4FF'>[Right click]</font> on a creature 
to get info about it.","<font color='#99D4FF'>[右击]</font> 一个生物查 
看有关信息。"
hint_set_plate,"<font color='#99D4FF'>[Right Click]</font> to switch position of the plate.
 Press <font color='#99D4FF'>[S]</font> to jump down from it.","<font color='#99D4FF'>[右击]</font> 改变板子位置。
 按 <font color='#99D4FF'>[S]</font> 跳下。"
hint_set_spawn,"You will now spawn here 
in case you die.","如果你的角色死亡 
你将在这重生。"
hint_set_torch,"You can hold <font color='#99D4FF'>[Shift]</font> 
to quickly switch to the torch while holding another item","按住 <font color='#99D4FF'>[shift]</font> 
可在火把和手持另一个物品之间迅速切换"
hint_short_level,"I haven’t reached required level 
for using this item.","我还没有达到这个物品 
的需要级别。"
hint_treasure_chests,"You can find chests with items and magical artifacts 
by exploring a dungeon.",你可以通过探索地下城找到装有物品和魔法器物的箱子。
item_alligator,Alligator,短吻鳄
item_anaptanium_boots,Anaptanium Boots,锐钛靴子
item_anaptanium_chestplate,Anaptanium Chestplate,锐钛护胸
item_anaptanium_helmet,Anaptanium Helmet,锐钛头盔
item_antidote_potion,Antidote,解毒药剂
item_apple,Apple,苹果
item_armored_zombie_card,Zombie Guardian Card,僵尸护卫卡
item_arrow,Arrow,弓箭
item_bagpipes,Guitar,吉他
item_bailer,Watering Can,浇水壶
item_battery,Battery,电池
item_big_spider_card,Big Spider Card,巨蜘蛛卡
item_blaster,Blaster,轰天枪
item_blasterenergy,Plasma Battery,等离子电池
item_blasterpoweredenergy,Shotgun Cartridge,散弹枪弹药
item_bloody_sunrise_katana,Bloody Sunrise Katana,血腥日出武士刀
item_boar_card,Boar Card,野猪卡
item_bolt,Bolt,十字弓弓箭
item_bottle_with_water,Bottle of Water,有水的瓶子
item_bow,Bow,弓
item_bowler_hat,Bowler Hat,礼帽
item_branch_tree_small_description,Branch,树枝
item_bronze_axe,Bronze Axe,铜斧
item_bronze_bar,Bronze Ingot,铜锭
item_bronze_chainmail,Bronze Chestplate,铜胸甲
item_bronze_greaves,Bronze Boots,铜靴
item_bronze_hammer,Bronze Hammer,铜锤
item_bronze_helmet,Bronze Helmet,铜头盔
item_bronze_ore,Bronze Ore,铜矿
item_bronze_pickaxe,Bronze Pickaxe,铜稿
item_bronze_shovel,Bronze Shovel,铜铲
item_bronze_sword,Bronze Sword,铜剑
item_bucket_with_magma,Bucket with Magma,有岩浆的桶子
item_bucket_with_water,Bucket with Water,有水的桶子
item_bullet,Bullets,子弹
item_cage_with_hare,Cage with Chicken,有鸡的笼子
item_cage_with_surinot,Cage with Fenik,有狐的笼子
item_carrot,Pineapple,菠萝
item_carrot_seed,Pineapple Seed,菠萝籽
item_change_gender_potion,Change Gender Potion,变性药剂
item_change_position_potion,Random Teleportation Potion,随机传送药剂
item_circular_saw,Circular Saw,圆形锯
item_coal,Coal,煤
item_cosmo_helmet,Cosmo Helmet,宇宙头盔
item_crossbow,Crossbow,十字弓
item_damzan_eagle,Damzan's Eagle,大马萨之鹰
item_demonic_sword,Sword of Abyss,深渊之剑
item_desc_Iron_lamp,Can be placed on the wall.,可挂在墙上。
item_desc_alchemical_table,It is used to make potions. [Right Click] to use Alchemist Table,它用于制作药剂。[右击]使用治疗台。
item_desc_anaptanium_armor,Armor set using unknown materials from another planet.,盔甲套装使用来自另一个星球的未知套装。
item_desc_antidote_potion,Cures Poison.,解毒。
item_desc_anvil,It is used to craft iron items and other crafting. [Right Click] to use Anvil,它用于打造铁制物品等其它物品。[右击]使用铁砧。
item_desc_arrow, Arrows are used as bow ammo. Insert arrows in Ammo Slot.,弓箭用作弓箭的弹药。将弓箭放入弹药槽中。
item_desc_axe,It is used for cutting trees.,它用于砍树。
item_desc_bagpipes,Hold [Left Click] to play the guitar,按住[左键]弹吉他。
item_desc_bailer,It is used to water farmland. [Left Click] on water to fill it and [Left Click] to water.,它用于灌溉农田。[左击]水将水瓢装满，再[左击]来浇灌。
item_desc_battery,It is used to give energy to something.,它用于为物件提供能量。
item_desc_bed,Set a spawning point. [Right Click] to activate Bed,设置再生地点。[右击]启用床。
item_desc_blaster,It is used to fire with plasma. Place plasma battery in Ammo Slot.,它用于等离子射击。将等离子电池放在弹药槽中。
item_desc_blasterenergy,It is used as plasma ammo. Place it in Ammo Slot.,它用作等离子的弹药。将其放在弹药槽中。
item_desc_blasterpoweredenergy,It is used as shotgun ammo. Place it in Ammo Slot.,它用作散弹枪的弹药。将其放在弹药槽中。
item_desc_blue_coral,Radiates blue glow.,有蓝光。
item_desc_blue_mushroom,It is used to make banner.,它用于制作条幅。
item_desc_bluetail_home,A Globunny appears along with its house. [Left Click] to feed it with vegetables,有一只乖怪兔出现了，还有它的窝。[左击]用菜喂它。
item_desc_bolt,It is used as crossbow ammo. Place it in Ammo Slot.,它用作十字弓的弹药。将其放在弹药槽中。
item_desc_book_memories,This book contains knowledge of the world. [Right Click] to open.,本书中是有关这一星球的知识。[右击]打开。
item_desc_book_memories_part2,This book contains knowledge of the world. [Right Click] to open.,这本书包含了这个世界的信息。【Right Click】打开
item_desc_book_shadows,This ancient computer contains knowledge of the higher monsters. [Right Click] to open.,这台远古计算机上存有高等怪物的知识。[右击]打开。
item_desc_bottle_with_water,It is used to craft potions and extinguishing fires.,它用于制作药剂和灭火。
item_desc_bouquet,Can be placed on a the table.,可放在桌上。
item_desc_bow,It is used to fire from afar. Place ammo in Ammo Slot.,它用于远程射击。将弓箭放在弹药槽中。
item_desc_brick,It is crafted by burning clay in furnace.,它是在熔炉中用粘土烧制而成的。
item_desc_bronze_bar,It is used to craft bronze items.,它用于打造铜物品。
item_desc_bronze_ore,It is smelted to bronze ingot.,它用于炼铜锭。
item_desc_bronze_pickaxe,"It is used for mining solid blocks, coal, bronze ore and iron ore.",它用于开采砖块、煤、铜矿石和铁矿石。
item_desc_bucket_with_magma,[Left Click] to pour magma where there are no blocks or other liquids.,[左击]将岩浆倒在没有砖块或其它液体的地方。
item_desc_bucket_with_water,[Left Click] to pour water where there are no blocks or other liquids.,[左击]将水倒在没有砖块或其它液体的地方。
item_desc_bullet,It is used as pistol or revolver ammo. Place it in Ammo Slot.,它用作手枪或左轮手枪的弹药。将其放在弹药槽中。
item_desc_burner,It is used to annihilate items. [Right Click] to use Burner,它用于销毁物品。[右击]使用焚烧器
item_desc_cage_with_animal,[Right Click] on empty space to release an animal,在空地上[右击]放走动物。
item_desc_candelabrum,Can be placed on a table.,可放在桌上。
item_desc_chainmail,Can be used as protection. Place it in Chestplate Slot.,用作防护。将其放在胸甲槽中。
item_desc_change_gender_potion,This Potion will change your gender. Be careful! You need a second potion to change everything back.,本药剂会改变角色性格。小心！你还需要一支才能将一切还原。
item_desc_change_position_potion,This Potion will randomly teleport you.,本药剂会传送你到随机地点。
item_desc_chest,It is used to store items. [Right Click] to use Chest,它用于存放物品。[右击]使用箱子。
item_desc_clay,It is used to make Bricks and Roof tiles.,它用于制造砖和房瓦。
item_desc_clothing,Can be set in Clothes Slot.,可放在衣物槽中。
item_desc_coal,It is used as a fuel. Burns four times as long as wood.,它用于燃料。比木头燃烧长三倍的时间。
item_desc_cobblestone,It is smelted to stone.,它用于炼矿石。
item_desc_crossbow,It is used to fire from afar with bolts. Place bolts in Ammo Slot.,它用于远程十字弓弓箭射击。将十字弓弓箭放在弹药槽中。
item_desc_demonic_sword,The most powerful sword that can created by man.,人类所能造的最强大的剑。
item_desc_diamond_ore,It is used to craft battery or craft energy items.,它用于制造电池或能量物品。
item_desc_diamond_pickaxe,"It is used for mining solid blocks, coal, bronze ore, iron ore, gold ore, energy crystals and solidium ore.",它用于开采各种砖块、煤、铜矿石、铁矿石、金矿石、能量水晶和超锢矿石。
item_desc_door,It is placed between two solid blocks. [Right Click] to open or close the door,门是放在两块砖块之间。[右击]打开或关上门。
item_desc_dragon_helmet,The legend says that only the chosen warriors can get this helmet.,传说只有少数武士才能得到这种头盔。
item_desc_empty_bottle,A Bottle with water can be used to craft potions and extinguishing fires. [Left Click] on water to fill it.,装了水的瓶子可用于制作药水和灭火。[左击]水将瓶子装满。
item_desc_empty_bucket,It is used to store liquids. [Left Click] to fill it with water or magma.,它用于存储液体。[左击]用水或岩浆将它装满。
item_desc_empty_cage,It is used to catch an animal. Approach the animal and [Left Click] on it,它拥于捕猎。靠近一只动物，再[左击]它。
item_desc_essence_live,It is used to make Healing Potion.,它用于制作治疗药剂。
item_desc_experience_potion,It is used to increase the speed of gaining XP.,它用于增加获得经验值的速度。
item_desc_fire_iron_bar,It is used to craft solidium items.,它用于打造超锢物品。
item_desc_fire_iron_ore,It is smelted to solidium ingot.,它用于炼超锢锭。
item_desc_fire_iron_pickaxe,"It is used for mining solid blocks, coal, bronze ore, iron ore, gold ore, energy crystals and solidium ore.",它用于开采各种砖块、煤、铜矿石、铁矿石、金矿石、能量水晶和超锢矿石。
item_desc_fireflower,Radiates orange glow.,有橙色光。
item_desc_flamethrower,It is used to burn. Place fuel canister in Ammo Slot.,那是用来烧的，把燃料罐放进弹药槽里。
item_desc_flamethrower_canister,It is used as fuel for flamethrower. Place it in Ammo Slot.,这是火焰喷射器的燃料，放进弹药槽里。
item_desc_furnace,It is used to smelt ingots and other crafting. [Right Click] to use Furnace,它用于熔化锭。[右击]使用熔炉。
item_desc_gilliweed,It is used to make Gills Potion.,它用于制作鱼腮药剂。
item_desc_gilliweed_seed,Can be used to grow Gillweed. [Left Click] to put to underwater dirt surface.,可用于种植鱼腮草。[左击]将其放在水底。
item_desc_gills_potion,Can grow gills to breathe underwater.,可以长出鱼腮以在水下呼吸。
item_desc_glass,It is crafted by burning sand in furnace.,它是在熔炉中用沙子烧制而成的。
item_desc_gold_bar,It is used to craft golden items.,它用于打造金物品。
item_desc_gold_ore,It is smelted to gold ingot.,它用于炼金锭。
item_desc_gold_pickaxe,"It is used for mining solid blocks, coal, bronze ore, iron ore, gold ore, energy crystals and solidium ore.",它用于开采砖块、煤、铜矿石、铁矿石、金矿石、能量水晶和超锢矿石。
item_desc_grass,Spreads to nearest dirt blocks.,会蔓延到附近土块上。
item_desc_great_healing_potion,Fully restores health.,恢复所有生命点数。
item_desc_greaves,Can be used as protection. Place it in Pants Slot.,用作防护。将其放在裤子槽中。
item_desc_green_coral,Radiates green glow.,有绿光。
item_desc_grindol_crown,A crown one of the Goblin King used to own. Wearing it grants goblin’s assistance.,哥布林王曾拥有的皇冠。戴着它可获得哥布林的帮助。
item_desc_gromon,Elegant and technological weapon using the power of a laser. [Right Click] to strike with a devastating blast.,优雅、高科技的激光武器。[右击]射出具有毁灭性的一枪。
item_desc_guest_portal,Sets a spawning point for planet guests. [Right Click] to activate Portal,为星球客人设置一个产生地点。[右击]启用传送门
item_desc_hammer,It is used for breaking walls.,它用于破墙。
item_desc_healing_potion,Partially restores health.,恢复部分生命点数。
item_desc_helmet,Can be used as protection. Place it in Helmet Slot.,用作防护。将其放在头盔槽中。
item_desc_hero_statue,The Great Liberator,伟大的救世主
item_desc_horn_gargoyle,Induction Ring directs you to mighty beasts in the Planet. Should the mighty one be nearby the Induction Ring glowing particles towards it.,指引戒指带你前往星球上超强怪物。如果附近有超强怪物，指引戒指会朝着怪物闪出亮点。
item_desc_invisibility_potion,Makes character invisible for creatures. The effect wears off by attacking or placing solid blocks.,让角色对生物隐形。攻击或放置砖块会减弱效果。
item_desc_invisibility_powder,It is used to make Invisibility Potion or Sticky Dynamite.,它用于制作隐形药剂或粘性炸弹。
item_desc_iron_bar,It is used to craft iron items.,它用于打造铁物品。
item_desc_iron_ore,It is smelted to iron ingot.,它用于炼铁锭。
item_desc_iron_pickaxe,"It is used for mining solid blocks, coal, bronze ore, iron ore, gold ore and energy crystals.",它用于开采砖块，煤、铜矿石、铁矿石、金矿石和能量水晶。
item_desc_ladder,You can climb it with [W] and [S],你可以用[W]和[S]键爬梯子
item_desc_lamp,"Can be held, placed on the table or attached to the blocks.",可手拿，放在桌上或者固定在砖块上。
item_desc_letoch,It is used to make potions.,它用于制作药剂。
item_desc_levitation_potion,Allows to jump higher and levitate.,可以跳地更高，并悬浮。
item_desc_light_potion,It is used to light the environment.,它用于照亮周围环境。
item_desc_luminary,An ancient axe crafted 1000 years ago. Tyrantium contains pure evil inside. [Right Click] to radiate a guiding light which is strong enough to instantly burn zombies.,一把在1000年前打造的古代斧。暴君之斧有一股妖气。[右击]放出带路的光线，伤害足以立刻烧死僵尸。
item_desc_marker,[Right Click] to write text on a sign,[右击]在标记上写字。
item_desc_meat,Restores Health. Can be fried.,恢复生命。可烤。
item_desc_mechanical_guard,It’s a RoboProtector MARK XII who will be protecting you till it dies. You need to wait 3 min to activate the RoboProtector.,RoboProtector MARK XII将誓死保护你。你要等待3分钟才能激活RoboProtector。
item_desc_med_station,It is used to make advanced potions. [Right Click] to use Med Station,它用于制作高级药水。[右击]医务站。
item_desc_miniblaster,It is used to fire with plasma. Place plasma battery in Ammo Slot.,它用于等离子射击。将等离子电池放在弹药槽中。
item_desc_minicrossbow,It is used to fire with bolts. Place bolts in Ammo Slot.,它用于发射十字弓弓箭。将十字弓弓箭放在弹药槽中。
item_desc_moss_metal,Moss Metal Brick.,苔金属砖块。
item_desc_obsidian,Formed when water hits magma source.,当水遇熔岩时形成
item_desc_part_of_trap,It is used to craft traps.,它用于制作陷阱。
item_desc_peresvet,Blooms and radiates light if no one is around.,周围没人的时候开花和闪烁。
item_desc_picker,It is used to plow dirt. [Left Click] to plow.,它用于耕地。[左击]进行耕种
item_desc_plate,[Right Click] to switch position of the plate.,[右击]切换板子位置。
item_desc_proto_armor,Armor set using atomic super power and the best materials of the future.,使用原子超能量和未来最强材料制作的盔甲套装。
item_desc_purple_home,A Purple Panda appears along with its house. [Left Click] to feed it with vegetables,有一头紫熊猫出现了，还有它的窝。[左击]用菜喂它。
item_desc_red_mushroom,It is used to make potions. Spreads to nearest blocks.,它用于制作药剂。会蔓延到附近砖块上。
item_desc_resin,It is used to craft Faint Torch.,它用于制造小火把。
item_desc_revolver,It is used to fire with bullets. Place bullets in Ammo Slot.,它用于发射子弹。将子弹放在弹药槽中。
item_desc_roast,Restores Health.,恢复生命。
item_desc_sand,It is used to make Glass at a Furnace.,它用于在熔炉中制造玻璃。
item_desc_scroll_teleport,It is used to teleport to the spawning point.,它用于传送到产生地点。
item_desc_seed,[Left Click] to plant seeds on watered farmland,在灌溉好的农田上[左击]来播种
item_desc_shears,It is used to mine grass blocks. [Left Click] to mine it.,它用于挖掘玻璃砖块。[左击]进行挖掘。
item_desc_shootgun,Bullets are used for range attack. Insert bullets in Ammo Slot.,子弹用于远程攻击。将子弹放入弹药槽中。
item_desc_shop_exchange,You can reproduce materials using various ores in this 3d printer.,你可以在这个3D打印机中用各种矿石获得材料。
item_desc_shovel,It is used for digging dirt.,它用于挖土。
item_desc_slug_eggs,Radiates orange glowing.,有橙色光
item_desc_sofa,Sofa,沙发
item_desc_speed_potion,It is used to increase speed.,它用于增加速度。
item_desc_stick_shadow,The Shadow Candle directs you to shadow in the Planet. Should the mighty one be nearby the Shadow Candle glowing particles towards it. Keep the Shadow Candle in hand to meet shadow,影子蜡烛会指引你这个星球阴暗的方向，那个强大的人就在它指引的方向。把影子蜡烛拿在手里，去见他吧。
item_desc_stone_pickaxe,"It is used for mining solid blocks, coal and bronze ore.",它用于开采砖块、煤和铜矿石。
item_desc_surinot_home,A Fenik appears along with its house. [Left Click] to feed it with vegetables,有一只狐出现了，还有它的窝。[左击]用菜喂它。
item_desc_sword,It is used as a weapon.,它用作武器。
item_desc_sword_depths,Powerful sword. The pure force in your hands.,强大的剑。手握着的神力。
item_desc_techno_workbench,It is used to craft advanced various items. [Right Click] to use Techno Workbench,它用于打造各种高级物品。[右击]使用技术工作台。
item_desc_tileroof,It is crafted by bricks on workbench.,它是在工作台上用砖块制作成的。
item_desc_torch,It is used to light up the area. You can hold [Shift] to quickly switch to the torch while holding another item.,它用于照亮周围。你可以按住[Shift]迅速地在火把和拿着的另一个物品之间切换。
item_desc_trapdoor,It is placed between two solid blocks. [Right Click] to open or close the trapdoor,能放在两块砖块之间。[右击]打开或关上活板门。
item_desc_treasure_key,It is used to open a treasure box.,它用于打开宝箱。
item_desc_tree_seedling,Plow and water dirt to plant a seedling,耕地、浇水来种小树苗。
item_desc_vegetables,Can be used to feed your pets.,可用于喂你的宠物。
item_desc_window,Can be placed between two solid blocks. [Right Click] to open or close the window,能放在两块砖块之间。[右击]打开或关上窗户。
